,x,y,v,Subtypes,colors
52,1,24,HPCB0: Gas-hexadecane PC distribution of 0.00B,Partition coefficient,#C6CEBA
53,1,25,SHAC0: Strong H-Bond acceptors_3 distriCution of 0.00C,Hydrogen bond related,#FFC000
54,1,26,PSNA0: Primary or secondary nitrogens distribution of 0.00A,Topological indice,#B4B044
55,1,27,LFIC0: Lipoaffinity index_3 distriCution of 0.00C,Solubility lipoaffinity,#D1963A
56,2,0,MLF: Linear free energy000,Hydrogen bond related,#FFC000
57,2,1,MLF: Linear free energy00,Hydrogen bond related,#FFC000
58,2,2,PCDAG: Parallel correlation PseDN composition of AG,Nucleotide related,#ED7D31
59,2,3,SCDAG: Series correlation PseDN composition of AG,Nucleotide related,#ED7D31
60,2,4,LFI: Lipoaffinity index_3101,Solubility lipoaffinity,#D1963A
61,2,5,HPC: Gas-hexadecane PC_3002,Partition coefficient,#C6CEBA
62,2,6,PHB: Potential Hydrogen Bonds_3002,Hydrogen bond related,#FFC000
63,2,7,PHB: Potential Hydrogen Bonds_3200,Hydrogen bond related,#FFC000
64,2,8,HPC: Gas-hexadecane PC000,Partition coefficient,#C6CEBA
65,2,9,LFI: Lipoaffinity index101,Solubility lipoaffinity,#D1963A
66,2,10,SHA: Strong H-Bond acceptors_3010,Hydrogen bond related,#FFC000
67,2,11,SHA: Strong H-Bond acceptors_301,Hydrogen bond related,#FFC000
68,2,12,SHA: Strong H-Bond acceptors_310,Hydrogen bond related,#FFC000
69,2,13,LFI: Lipoaffinity index000,Solubility lipoaffinity,#D1963A
70,2,14,SHA: Strong H-Bond acceptors_3002,Hydrogen bond related,#FFC000
71,2,15,SHAAC: Strong H-Bond acceptors_3 transition between A and C,Hydrogen bond related,#FFC000
72,2,16,HPCCB: Gas-hexadecane PC_3 composition of B,Partition coefficient,#C6CEBA
73,2,17,HPCCB: Gas-hexadecane PC composition of B,Partition coefficient,#C6CEBA
74,2,18,PHB: Potential Hydrogen Bonds_3110,Hydrogen bond related,#FFC000
75,2,19,HPC: Gas-hexadecane PC110,Partition coefficient,#C6CEBA
76,2,20,SHA: Strong H-Bond acceptors_3220,Hydrogen bond related,#FFC000
77,2,21,PCDTT: Parallel correlation PseDN composition of TT,Nucleotide related,#ED7D31
78,2,22,SCDTT: Series correlation PseDN composition of TT,Nucleotide related,#ED7D31
79,2,23,DPRA0: Distribution of 0.00A,Transcript related,#CCB441
80,2,24,SLFB0: Sum of path lengths starting from oxygens_3 distribution of 0.00B,Topological indice,#B4B044
81,2,25,HPCB0: Gas-hexadecane PC_3 distribution of 0.00B,Partition coefficient,#C6CEBA
82,2,26,PHBB0: Potential Hydrogen Bonds_3 distribution of 0.00B,Hydrogen bond related,#FFC000
83,2,27,DPRC0: Distribution of 0.00C,Transcript related,#CCB441
84,3,0,TraEY: Entropy density Y on transcript,Transcript related,#CCB441
85,3,1,SCDGA: Series correlation PseDN composition of GA,Nucleotide related,#ED7D31
86,3,2,PCDGA: Parallel correlation PseDN composition of GA,Nucleotide related,#ED7D31
87,3,3,SLF: Sum of path lengths starting from oxygens_3210,Topological indice,#B4B044
88,3,4,PHB: Potential Hydrogen Bonds_30,Hydrogen bond related,#FFC000
89,3,5,MLF: Linear free energy100,Hydrogen bond related,#FFC000
90,3,6,MLF: Linear free energy001,Hydrogen bond related,#FFC000
91,3,7,HPC: Gas-hexadecane PC00,Partition coefficient,#C6CEBA
92,3,8,SHA: Strong H-Bond acceptors_3100,Hydrogen bond related,#FFC000
93,3,9,HPCCA: Gas-hexadecane PC composition of A,Partition coefficient,#C6CEBA
94,3,10,SHA: Strong H-Bond acceptors_3001,Hydrogen bond related,#FFC000
95,3,11,SHAAB: Strong H-Bond acceptors_3 transition between A and B,Hydrogen bond related,#FFC000
96,3,12,LFI: Lipoaffinity index10,Solubility lipoaffinity,#D1963A
97,3,13,LFI: Lipoaffinity index_3002,Solubility lipoaffinity,#D1963A
98,3,14,LFI: Lipoaffinity index_3200,Solubility lipoaffinity,#D1963A
99,3,15,SHA: Strong H-Bond acceptors_3020,Hydrogen bond related,#FFC000
100,3,16,SHA: Strong H-Bond acceptors_302,Hydrogen bond related,#FFC000
101,3,17,PHBCB: Potential Hydrogen Bonds_3 composition of B,Hydrogen bond related,#FFC000
102,3,18,SHACC: Strong H-Bond acceptors_3 composition of C,Hydrogen bond related,#FFC000
103,3,19,ComRC: Composition of C,Transcript related,#CCB441
104,3,20,HPC: Gas-hexadecane PC011,Partition coefficient,#C6CEBA
105,3,21,SHA: Strong H-Bond acceptors_3022,Hydrogen bond related,#FFC000
106,3,22,HPC: Gas-hexadecane PC_3011,Partition coefficient,#C6CEBA
107,3,23,HPC: Gas-hexadecane PC_3110,Partition coefficient,#C6CEBA
108,3,24,TraGC: Transition between G and C,Transcript related,#CCB441
109,3,25,MLF: Linear free energy111,Hydrogen bond related,#FFC000
110,3,26,PCDTC: Parallel correlation PseDN composition of TC,Nucleotide related,#ED7D31
111,3,27,SCDTC: Series correlation PseDN composition of TC,Nucleotide related,#ED7D31
112,4,0,PCDGG: Parallel correlation PseDN composition of GG,Nucleotide related,#ED7D31
113,4,1,HPC: Gas-hexadecane PC_3220,Partition coefficient,#C6CEBA
114,4,2,SLF: Sum of path lengths starting from oxygens_3021,Topological indice,#B4B044
115,4,3,HPC: Gas-hexadecane PC_302,Partition coefficient,#C6CEBA
116,4,4,MLFCA: Linear free energy composition of A,Hydrogen bond related,#FFC000
117,4,5,MLF: Linear free energy0,Hydrogen bond related,#FFC000
118,4,6,PHBCA: Potential Hydrogen Bonds_3 composition of A,Hydrogen bond related,#FFC000
119,4,7,SLF: Sum of path lengths starting from oxygens_3120,Topological indice,#B4B044
120,4,8,TraEM: Entropy density M on transcript,Transcript related,#CCB441
121,4,9,HPC: Gas-hexadecane PC0,Partition coefficient,#C6CEBA
122,4,10,PHB: Potential Hydrogen Bonds_3020,Hydrogen bond related,#FFC000
123,4,11,LFI: Lipoaffinity index01,Solubility lipoaffinity,#D1963A
124,4,12,LFIAB: Lipoaffinity index transition between A and B,Solubility lipoaffinity,#D1963A
125,4,13,ASMH1: Dinucleotide auto covariance of lag1 on SMH,Nucleotide related,#ED7D31
126,4,14,LFI: Lipoaffinity index0,Solubility lipoaffinity,#D1963A
127,4,15,LFICA: Lipoaffinity index composition of A,Solubility lipoaffinity,#D1963A
128,4,16,LFI: Lipoaffinity index00,Solubility lipoaffinity,#D1963A
129,4,17,HPC: Gas-hexadecane PC10,Partition coefficient,#C6CEBA
130,4,18,SLF: Sum of path lengths starting from oxygens_3002,Topological indice,#B4B044
131,4,19,PHB: Potential Hydrogen Bonds_3101,Hydrogen bond related,#FFC000
132,4,20,HPC: Gas-hexadecane PC101,Partition coefficient,#C6CEBA
133,4,21,SHA: Strong H-Bond acceptors_3202,Hydrogen bond related,#FFC000
134,4,22,HPC: Gas-hexadecane PC_3101,Partition coefficient,#C6CEBA
135,4,23,PCDCT: Parallel correlation PseDN composition of CT,Nucleotide related,#ED7D31
136,4,24,MLF: Linear free energy11,Hydrogen bond related,#FFC000
137,4,25,SLF: Sum of path lengths starting from oxygens_3000,Topological indice,#B4B044
138,4,26,PHBBC: Potential Hydrogen Bonds_3 transition between B and C,Hydrogen bond related,#FFC000
139,4,27,PHB: Potential Hydrogen Bonds_3120,Hydrogen bond related,#FFC000
140,5,0,HPC: Gas-hexadecane PC_3022,Partition coefficient,#C6CEBA
141,5,1,TPS: Topological polar surface area_3011,Topological indice,#B4B044
142,5,2,SCDGG: Series correlation PseDN composition of GG,Nucleotide related,#ED7D31
143,5,3,HPC: Gas-hexadecane PC_3202,Partition coefficient,#C6CEBA
144,5,4,HPCAC: Gas-hexadecane PC_3 transition between A and C,Partition coefficient,#C6CEBA
145,5,5,HPC: Gas-hexadecane PC_3020,Partition coefficient,#C6CEBA
146,5,6,HPC: Gas-hexadecane PC_3200,Partition coefficient,#C6CEBA
147,5,7,LFI: Lipoaffinity index_310,Solubility lipoaffinity,#D1963A
148,5,8,SLF: Sum of path lengths starting from oxygens_3012,Topological indice,#B4B044
149,5,9,MLF: Linear free energy010,Hydrogen bond related,#FFC000
150,5,10,LFIAB: Lipoaffinity index_3 transition between A and B,Solubility lipoaffinity,#D1963A
151,5,11,SLF: Sum of path lengths starting from oxygens_3201,Topological indice,#B4B044
152,5,12,ORFEW: Entropy density W on ORF,Open reading frame,#BDC6CF
153,5,13,L1BDS: Series correlation PseDN composition of lamda1-BDS,Nucleotide related,#ED7D31
154,5,14,ABDG1: Dinucleotide auto covariance of lag1 on BDG,Nucleotide related,#ED7D31
155,5,15,LFI: Lipoaffinity index_302,Solubility lipoaffinity,#D1963A
156,5,16,LFI: Lipoaffinity index_3020,Solubility lipoaffinity,#D1963A
157,5,17,SLF: Sum of path lengths starting from oxygens_3200,Topological indice,#B4B044
158,5,18,SLF: Sum of path lengths starting from oxygens_3020,Topological indice,#B4B044
159,5,19,PHB: Potential Hydrogen Bonds_3021,Hydrogen bond related,#FFC000
160,5,20,PHB: Potential Hydrogen Bonds_3102,Hydrogen bond related,#FFC000
161,5,21,GCCo3: GC content of 3rd position of codons,Guanine-cytosine related,#9AA983
162,5,22,GCCoW: GC content of whole sequence,Guanine-cytosine related,#9AA983
163,5,23,MLFCB: Linear free energy composition of B,Hydrogen bond related,#FFC000
164,5,24,SCDCT: Series correlation PseDN composition of CT,Nucleotide related,#ED7D31
165,5,25,SLF: Sum of path lengths starting from oxygens_300,Topological indice,#B4B044
166,5,26,PHB: Potential Hydrogen Bonds_3012,Hydrogen bond related,#FFC000
167,5,27,GCC1V: GCCo1 variance frame score,Guanine-cytosine related,#9AA983
168,6,0,SCFFS: Stop codon frequency frame score,Codon related,#679DC4
169,6,1,TPS: Topological polar surface area_3110,Topological indice,#B4B044
170,6,2,PSN: Primary or secondary nitrogens110,Topological indice,#B4B044
171,6,3,TPS: Topological polar surface area_3101,Topological indice,#B4B044
172,6,4,HPC: Gas-hexadecane PC_320,Partition coefficient,#C6CEBA
173,6,5,SLF: Sum of path lengths starting from oxygens_3102,Topological indice,#B4B044
174,6,6,ORFEI: Entropy density I on ORF,Open reading frame,#BDC6CF
175,6,7,PHB: Potential Hydrogen Bonds_3010,Hydrogen bond related,#FFC000
176,6,8,PHB: Potential Hydrogen Bonds_3001,Hydrogen bond related,#FFC000
177,6,9,LFI: Lipoaffinity index_301,Solubility lipoaffinity,#D1963A
178,6,10,PHB: Potential Hydrogen Bonds_3100,Hydrogen bond related,#FFC000
179,6,11,nMFE,Secondary structure,#76A6D3
180,6,12,TraEC: Entropy density C on transcript,Transcript related,#CCB441
181,6,13,LFI: Lipoaffinity index_3000,Solubility lipoaffinity,#D1963A
182,6,14,ASMS1: Dinucleotide auto covariance of lag1 on SMS,Nucleotide related,#ED7D31
183,6,15,AHCT1: Dinucleotide auto covariance of lag1 on HCT,Nucleotide related,#ED7D31
184,6,16,LFIAC: Lipoaffinity index_3 transition between A and C,Solubility lipoaffinity,#D1963A
185,6,17,HPC: Gas-hexadecane PC01,Partition coefficient,#C6CEBA
186,6,18,HPCAB: Gas-hexadecane PC transition between A and B,Partition coefficient,#C6CEBA
187,6,19,MLF: Linear free energy101,Hydrogen bond related,#FFC000
188,6,20,MLF: Linear free energy011,Hydrogen bond related,#FFC000
189,6,21,HPC: Gas-hexadecane PC_301,Partition coefficient,#C6CEBA
190,6,22,SLF: Sum of path lengths starting from oxygens_30,Topological indice,#B4B044
191,6,23,MLF: Linear free energy1,Hydrogen bond related,#FFC000
192,6,24,SLFCA: Sum of path lengths starting from oxygens_3 composition of A,Topological indice,#B4B044
193,6,25,TraEA: Entropy density A on transcript,Transcript related,#CCB441
194,6,26,GCC2V: GCCo2 variance frame score,Guanine-cytosine related,#9AA983
195,6,27,GCC3V: GCCo3 variance frame score,Guanine-cytosine related,#9AA983
196,7,0,SCCFS: Stop codon count frame score,Codon related,#679DC4
197,7,1,PSN: Primary or secondary nitrogens011,Topological indice,#B4B044
198,7,2,SLF: Sum of path lengths starting from oxygens_3022,Topological indice,#B4B044
199,7,3,C3UTR: Coverage of 3 untranslated region,Transcript related,#CCB441
200,7,4,PSN: Primary or secondary nitrogens101,Topological indice,#B4B044
201,7,5,ORFEY: Entropy density Y on ORF,Open reading frame,#BDC6CF
202,7,6,LFI: Lipoaffinity index_3010,Solubility lipoaffinity,#D1963A
203,7,7,SHD: Strong H-Bond donors000,Hydrogen bond related,#FFC000
204,7,8,LFI: Lipoaffinity index_3100,Solubility lipoaffinity,#D1963A
205,7,9,LFI: Lipoaffinity index_3001,Solubility lipoaffinity,#D1963A
206,7,10,ASTB1: Dinucleotide auto covariance of lag1 on STB,Nucleotide related,#ED7D31
207,7,11,SHA: Strong H-Bond acceptors_3000,Hydrogen bond related,#FFC000
208,7,12,TraEV: Entropy density V on transcript,Transcript related,#CCB441
209,7,13,MRe: Molar refractivity1,Polarizability refractivity,#A0CF6D
210,7,14,LFI: Lipoaffinity index_300,Solubility lipoaffinity,#D1963A
211,7,15,ABLS1: Dinucleotide auto covariance of lag1 on BLS,Nucleotide related,#ED7D31
212,7,16,ADTB1: Dinucleotide auto covariance of lag1 on DTB,Nucleotide related,#ED7D31
213,7,17,LFI: Lipoaffinity index_320,Solubility lipoaffinity,#D1963A
214,7,18,PHB: Potential Hydrogen Bonds_3201,Hydrogen bond related,#FFC000
215,7,19,GCCo2: GC content of 2nd position of codons,Guanine-cytosine related,#9AA983
216,7,20,PHB: Potential Hydrogen Bonds_3210,Hydrogen bond related,#FFC000
217,7,21,HPCAB: Gas-hexadecane PC_3 transition between A and B,Partition coefficient,#C6CEBA
218,7,22,MLF: Linear free energy110,Hydrogen bond related,#FFC000
219,7,23,LFI: Lipoaffinity index_3202,Solubility lipoaffinity,#D1963A
220,7,24,FickS: Fickett score,Codon related,#679DC4
221,7,25,TPS: Topological polar surface area_3220,Topological indice,#B4B044
222,7,26,LFI: Lipoaffinity index_3022,Solubility lipoaffinity,#D1963A
223,7,27,PCDCC: Parallel correlation PseDN composition of CC,Nucleotide related,#ED7D31
224,8,0,LORFL: Longest ORF length,Open reading frame,#BDC6CF
225,8,1,SLF: Sum of path lengths starting from oxygens_3220,Topological indice,#B4B044
226,8,2,TraEF: Entropy density F on transcript,Transcript related,#CCB441
227,8,3,SLFCC: Sum of path lengths starting from oxygens_3 composition of C,Topological indice,#B4B044
228,8,4,TPS: Topological polar surface area_310,Topological indice,#B4B044
229,8,5,TPS: Topological polar surface area_3010,Topological indice,#B4B044
230,8,6,TPS: Topological polar surface area_3100,Topological indice,#B4B044
231,8,7,SHD: Strong H-Bond donors00,Hydrogen bond related,#FFC000
232,8,8,SHD: Strong H-Bond donors0,Hydrogen bond related,#FFC000
233,8,9,SHAC1: Strong H-Bond acceptors_3 distriCution of 0.25C,Hydrogen bond related,#FFC000
234,8,10,CNH: NH- count111,Molecular fingerprint,#9AB6D1
235,8,11,CNH: NH- count11,Molecular fingerprint,#9AB6D1
236,8,12,TPSBC: Topological polar surface area_3 transition between B and C,Topological indice,#B4B044
237,8,13,ProAH: Pseudo protein average hydropathy,Pseudo protein related,#B3CE93
238,8,14,LFICA: Lipoaffinity index_3 composition of A,Solubility lipoaffinity,#D1963A
239,8,15,MRe: Molar refractivity11,Polarizability refractivity,#A0CF6D
240,8,16,MRe: Molar refractivity111,Polarizability refractivity,#A0CF6D
241,8,17,ABDH1: Dinucleotide auto covariance of lag1 on BDH,Nucleotide related,#ED7D31
242,8,18,ORFEA: Entropy density A on ORF,Open reading frame,#BDC6CF
243,8,19,TraEW: Entropy density W on transcript,Transcript related,#CCB441
244,8,20,GCCo1: GC content of 1st position of codons,Guanine-cytosine related,#9AA983
245,8,21,HPC: Gas-hexadecane PC_310,Partition coefficient,#C6CEBA
246,8,22,SLF: Sum of path lengths starting from oxygens_3100,Topological indice,#B4B044
247,8,23,SLF: Sum of path lengths starting from oxygens_3001,Topological indice,#B4B044
248,8,24,ORFCo: ORF coverage,Open reading frame,#BDC6CF
249,8,25,TPS: Topological polar surface area_3202,Topological indice,#B4B044
250,8,26,TPS: Topological polar surface area_3022,Topological indice,#B4B044
251,8,27,LFI: Lipoaffinity index_3220,Solubility lipoaffinity,#D1963A
252,9,0,EiSNR: Electron-ion interaction pseudopotential signal/noise ratio,EIIP based spectrum,#99C94D
253,9,1,EiPS4: Electron-ion interaction pseudopotential spectrum 1,EIIP based spectrum,#99C94D
254,9,2,TPSCB: Topological polar surface area_3 composition of B,Topological indice,#B4B044
255,9,3,ComRT: Composition of T,Transcript related,#CCB441
256,9,4,SLF: Sum of path lengths starting from oxygens_3202,Topological indice,#B4B044
257,9,5,TPS: Topological polar surface area_301,Topological indice,#B4B044
258,9,6,TPS: Topological polar surface area_3001,Topological indice,#B4B044
259,9,7,SHDCA: Strong H-Bond donors composition of A,Hydrogen bond related,#FFC000
260,9,8,DPRC1: Distribution of 0.25C,Transcript related,#CCB441
261,9,9,PHBB2: Potential Hydrogen Bonds_3 distribution of 0.50B,Hydrogen bond related,#FFC000
262,9,10,SHA: Strong H-Bond acceptors_300,Hydrogen bond related,#FFC000
263,9,11,SHACA: Strong H-Bond acceptors_3 composition of A,Hydrogen bond related,#FFC000
264,9,12,TraTG: Transition between T and G,Transcript related,#CCB441
265,9,13,ORFEC: Entropy density C on ORF,Open reading frame,#BDC6CF
266,9,14,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,Topological indice,#B4B044
267,9,15,MReCB: Molar refractivity composition of B,Polarizability refractivity,#A0CF6D
268,9,16,PCDTG: Parallel correlation PseDN composition of TG,Nucleotide related,#ED7D31
269,9,17,TraTC: Transition between T and C,Transcript related,#CCB441
270,9,18,ORFEG: Entropy density G on ORF,Open reading frame,#BDC6CF
271,9,19,LFICC: Lipoaffinity index_3 composition of C,Solubility lipoaffinity,#D1963A
272,9,20,ComRG: Composition of G,Transcript related,#CCB441
273,9,21,HPC: Gas-hexadecane PC_3010,Partition coefficient,#C6CEBA
274,9,22,HPC: Gas-hexadecane PC_3001,Partition coefficient,#C6CEBA
275,9,23,SLF: Sum of path lengths starting from oxygens_3010,Topological indice,#B4B044
276,9,24,PHB: Potential Hydrogen Bonds_3220,Hydrogen bond related,#FFC000
277,9,25,SHD: Strong H-Bond donors101,Hydrogen bond related,#FFC000
278,9,26,SHD: Strong H-Bond donors011,Hydrogen bond related,#FFC000
279,9,27,SCDCC: Series correlation PseDN composition of CC,Nucleotide related,#ED7D31
280,10,0,ProMW: Pseudo protein molecular weight,Pseudo protein related,#B3CE93
281,10,1,EipSP: Electron-ion interaction pseudopotential signal peak,EIIP based spectrum,#99C94D
282,10,2,HPCCC: Gas-hexadecane PC_3 composition of C,Partition coefficient,#C6CEBA
283,10,3,PSNCB: Primary or secondary nitrogens composition of B,Topological indice,#B4B044
284,10,4,TPSAB: Topological polar surface area_3 transition between A and B,Topological indice,#B4B044
285,10,5,PSNAB: Primary or secondary nitrogens transition between A and B,Topological indice,#B4B044
286,10,6,HPCB1: Gas-hexadecane PC distribution of 0.25B,Partition coefficient,#C6CEBA
287,10,7,HPCB1: Gas-hexadecane PC_3 distribution of 0.25B,Partition coefficient,#C6CEBA
288,10,8,SHAC2: Strong H-Bond acceptors_3 distriCution of 0.50C,Hydrogen bond related,#FFC000
289,10,9,PHBB3: Potential Hydrogen Bonds_3 distribution of 0.75B,Hydrogen bond related,#FFC000
290,10,10,CNHCB: NH- count composition of B,Molecular fingerprint,#9AB6D1
291,10,11,SCDCG: Series correlation PseDN composition of CG,Nucleotide related,#ED7D31
292,10,12,PCDCG: Parallel correlation PseDN composition of CG,Nucleotide related,#ED7D31
293,10,13,SCDGC: Series correlation PseDN composition of GC,Nucleotide related,#ED7D31
294,10,14,SLF: Sum of path lengths starting from oxygens_302,Topological indice,#B4B044
295,10,15,LFI: Lipoaffinity index_30,Solubility lipoaffinity,#D1963A
296,10,16,HPCBC: Gas-hexadecane PC_3 transition between B and C,Partition coefficient,#C6CEBA
297,10,17,SCDTG: Series correlation PseDN composition of TG,Nucleotide related,#ED7D31
298,10,18,HPC: Gas-hexadecane PC_3120,Partition coefficient,#C6CEBA
299,10,19,ORFER: Entropy density R on ORF,Open reading frame,#BDC6CF
300,10,20,TraEG: Entropy density G on transcript,Transcript related,#CCB441
301,10,21,TPSCC: Topological polar surface area_3 composition of C,Topological indice,#B4B044
302,10,22,PHBCC: Potential Hydrogen Bonds_3 composition of C,Hydrogen bond related,#FFC000
303,10,23,PHB: Potential Hydrogen Bonds_3202,Hydrogen bond related,#FFC000
304,10,24,PSNCA: Primary or secondary nitrogens composition of A,Topological indice,#B4B044
305,10,25,PSN: Primary or secondary nitrogens0,Topological indice,#B4B044
306,10,26,PHB: Potential Hydrogen Bonds_3022,Hydrogen bond related,#FFC000
307,10,27,SHD: Strong H-Bond donors110,Hydrogen bond related,#FFC000
308,11,0,EiPS1: Electron-ion interaction pseudopotential spectrum 0.25,EIIP based spectrum,#99C94D
309,11,1,EiPS0: Electron-ion interaction pseudopotential spectrum 0,EIIP based spectrum,#99C94D
310,11,2,AROL1: Dinucleotide auto covariance of lag1 on ROL,Nucleotide related,#ED7D31
311,11,3,ORFEF: Entropy density F on ORF,Open reading frame,#BDC6CF
312,11,4,PSN: Primary or secondary nitrogens10,Topological indice,#B4B044
313,11,5,PHBB1: Potential Hydrogen Bonds_3 distribution of 0.25B,Hydrogen bond related,#FFC000
314,11,6,HPCB2: Gas-hexadecane PC distribution of 0.50B,Partition coefficient,#C6CEBA
315,11,7,HPCB2: Gas-hexadecane PC_3 distribution of 0.50B,Partition coefficient,#C6CEBA
316,11,8,LFIA1: Lipoaffinity index distribution of 0.25A,Solubility lipoaffinity,#D1963A
317,11,9,HPCB3: Gas-hexadecane PC_3 distribution of 0.75B,Partition coefficient,#C6CEBA
318,11,10,SHA: Strong H-Bond acceptors_30,Hydrogen bond related,#FFC000
319,11,11,TPS: Topological polar surface area_3210,Topological indice,#B4B044
320,11,12,ORFEV: Entropy density V on ORF,Open reading frame,#BDC6CF
321,11,13,PCDGC: Parallel correlation PseDN composition of GC,Nucleotide related,#ED7D31
322,11,14,TPS: Topological polar surface area_3012,Topological indice,#B4B044
323,11,15,SLF: Sum of path lengths starting from oxygens_320,Topological indice,#B4B044
324,11,16,HPC: Gas-hexadecane PC_3021,Partition coefficient,#C6CEBA
325,11,17,PCDGT: Parallel correlation PseDN composition of GT,Nucleotide related,#ED7D31
326,11,18,SCDGT: Series correlation PseDN composition of GT,Nucleotide related,#ED7D31
327,11,19,PHB: Potential Hydrogen Bonds_310,Hydrogen bond related,#FFC000
328,11,20,SHDAB: Strong H-Bond donors transition between A and B,Hydrogen bond related,#FFC000
329,11,21,SHD: Strong H-Bond donors10,Hydrogen bond related,#FFC000
330,11,22,SHDCB: Strong H-Bond donors composition of B,Hydrogen bond related,#FFC000
331,11,23,HPC: Gas-hexadecane PC_3100,Partition coefficient,#C6CEBA
332,11,24,TPS: Topological polar surface area_320,Topological indice,#B4B044
333,11,25,PSN: Primary or secondary nitrogens000,Topological indice,#B4B044
334,11,26,TPS: Topological polar surface area_3002,Topological indice,#B4B044
335,11,27,TPSAC: Topological polar surface area_3 transition between A and C,Topological indice,#B4B044
336,12,0,TrLen: Transcript length,Transcript related,#CCB441
